Account_id|Address_Id|Primary|
1-1PRQS|1-1PRQV|Y|
1-1PRSQ|1-1PRST|Y|
1-1PRUO|1-1PRUR|Y|
1-1PRWM|1-1PRWP|Y|
1-1PVIC|1-1PVIF|Y|
1-1PVKA|1-1PVKD|Y|
1-1PVO6|1-1PVO9|Y|
1-1PFN8|1-1PFNB|Y|
1-1PGJQ|1-1PGJT|Y|
1-1PGR8|1-1PGRB|Y|
1-1PFKQ|1-1PFKT|Y|
1-1Q1PO|1-1Q1PR|Y|
1-1Q1HW|1-1Q1HZ|Y|
1-1Q1JU|1-1Q1JX|Y|
1-1Q1LS|1-1Q1LV|Y|
1-1PS6C|1-1PS6F|Y|
1-1PRYK|1-1PRYN|Y|
1-1PS2G|1-1PS2J|Y|
1-1PS4E|1-1PS4H|Y|
1-1PW1S|1-1PW1V|Y|
1-1PVQ4|1-1PVQ7|Y|
1-1PVS2|1-1PVS5|Y|
1-1PVZU|1-1PVZX|Y|
1-1PG9Q|1-1PG9T|Y|
1-1PFUQ|1-1PFUT|Y|
1-1PFX8|1-1PFXB|Y|
1-1PFZQ|1-1PFZT|Y|
1-1Q1UY|1-1Q1V1|N|
1-1Q230|1-1Q233|Y|
1-1Q1RM|1-1Q1RP|Y|
1-1Q1WW|1-1Q1WZ|Y|
1-1PWFE|1-1PWFH|Y|
1-1Q1UY|1-357FXF|Y|
1-1PS8A|1-1PS8D|Y|
1-1PSKS|1-1PSKV|Y|
1-1PSMQ|1-1PSMT|Y|
1-1PSGM|1-1PSGP|Y|
1-1PSGM|1-1PSGR|N|
1-1PW3Q|1-1PW3T|Y|
1-1PW72|1-1PW75|Y|
1-1PWHC|1-1PWHF|Y|
1-1Q2AS|1-1Q2AV|Y|
1-1PGC8|1-1PGCB|Y|
1-1PGEQ|1-1PGET|Y|
1-1PGH8|1-1PGHB|N|
1-1PGH8|1-1PGHD|Y|
1-1Q1YU|1-1Q1YX|Y|
1-1Q20S|1-1Q20V|N|
1-1Q20S|1-1Q20X|Y|
1-1Q24Y|1-1Q251|Y|
1-1PSSK|1-1PSSN|Y|
1-1PSSK|1-1PSSP|N|
1-1PSIU|1-1PSIX|Y|
1-1PSQM|1-1PSQP|Y|
1-1PSYY|1-1PSZ1|Y|
1-1PWWC|1-1PWWF|Y|
1-1PWJA|1-1PWJD|Y|
1-1PWL8|1-1PWLB|Y|
1-1PWN6|1-1PWN9|Y|
1-1PGW8|1-1PGWB|Y|
1-1PGM8|1-1PGMB|Y|
1-1PGOQ|1-1PGOT|Y|
1-1PGTQ|1-1PGTT|Y|
1-1PQLE|1-1PQLH|Y|
1-1Q26W|1-1Q26Z|Y|
1-1Q28U|1-1Q28X|Y|
1-1Q2CQ|1-1Q2CT|Y|
1-1PTIO|1-1PTIR|Y|
1-1PSV2|1-1PSV5|Y|
1-1PSX0|1-1PSX3|Y|
1-1PTGQ|1-1PTGT|Y|
1-1PX9Y|1-1PXA1|Y|
1-1PWYA|1-1PWYD|Y|
1-1PX62|1-1PX65|Y|
1-1PX80|1-1PX83|Y|
1-1PHIQ|1-1PHIT|Y|
1-1PGYQ|1-1PGYT|Y|
1-1PH18|1-1PH1B|Y|
1-1PH3Q|1-1PH3T|Y|
1-1PQNC|1-1PQNF|Y|
1-1PQPA|1-1PQPD|Y|
1-1PQR8|1-1PQRB|Y|
1-1PQT6|1-1PQT9|Y|
1-1PTWK|1-1PTWN|Y|
1-1PTM0|1-1PTM3|Y|
1-1PTPC|1-1PTPF|Y|
1-1PTUM|1-1PTUP|Y|
1-1PXS0|1-1PXS3|Y|
1-1PXFS|1-1PXFV|Y|
1-1PXHQ|1-1PXHT|Y|
1-1PXHQ|1-1PXHV|N|
1-1PXQ2|1-1PXQ5|Y|
1-1PQZK|1-1PQZN|Y|
1-1PH68|1-1PH6B|Y|
1-1PH8Q|1-1PH8T|Y|
1-1PHB8|1-1PHBB|Y|
1-1PQV4|1-1PQV7|Y|
